aurl	title	TotalKorean	EnglishRoot	ChineseRoot	KoreanRoot	UnknownRoot	EnglishRootList	ChineseRootList
http://www.iybrb.com/news/content/2018-12/17/61_337497.html	조선 ‘김치전시회’ 마련-연변일보 Yanbian Daily	82	2	54	24	2	['호텔', '호텔']	['최근', '조선', '전국', '전시회', '려', '위치', '료리', '축전', '이번', '전시회', '조선민족', '음식', '세계', '건강', '식품', '방법', '만들어져', '전시', '청', '류관', '등', '료리', '사들이', '평소', '련마', '해온', '재치', '향기', '조화', '통', '총각김치', '등', '이번', '전시회', '평가', '평양', '국제', '청', '류관', '평안남도', '녀', '맹위', '회', '등', '단위', '료', '리사', '가정', '상장', '수여', '관련', '시상식', '외신', '종합']
http://www.iybrb.com/news/content/2018-12/24/61_338300.html	조선반도 비핵화, 미국과 조선의 공동 노력 필요-연변일보 Yanbian Daily	149	3	103	43	0	['론', '싱가포르', '론']	['조선', '중앙', '통신', '론평', '발표', '조선', '중앙', '통신', '일전', '발표', '서명', '론평', '비핵화', '실현', '위해', '미국', '조선', '노력', '강조', '평의', '미국', '대', '조선', '적대', '정책', '중단', '대', '조선', '제재', '조치', '해제', '강압', '제재', '통해', '조선', '핵', '포기', '일방', '요구', '해서는', '론평', '지금', '조미', '비핵화', '대한', '미국', '인식', '미국', '비핵화', '개념', '부분', '개념', '지적', '론평', '조미', '동성', '약속', '비핵화', '미국', '단어', '함', '리해', '강조', '론평', '미국', '조선', '대한', '핵', '위협', '조선', '핵', '억제', '보유', '하지', '근원', '조선', '핵', '억제', '해제', '하기', '전', '대', '조선', '미국', '핵', '위협', '제거', '비핵화', '할', '대', '조선', '적대시', '정책', '종식', '제재', '해제', '등', '미국', '실천', '할', '강조', '평양', '신화통신']
http://www.iybrb.com/news/content/2018-12/18/61_337671.html	조선 관원: “미국의 조선 지도간부 제재는 도발행위”-연변일보 Yanbian Daily	192	2	140	48	2	['올린', '싱가포르']	['평양', '신화통신', '조선', '외무성', '미국', '연구소', '정책', '연구실', '실장', '담화', '발표', '하여', '미국', '인권', '문제', '조선', '고위', '미국', '제재', '명단', '도발', '행위', '지적', '조선', '중앙', '통신', '발표', '담화', '내용', '조선', '외무성', '관원', '조미', '정상', '회담', '후', '개', '월간', '미국', '매일', '조선', '악의', '중상', '조선', '돈세탁', '참여', '선박', '통한', '운반', '이전', '등', '비법', '거래', '진행', '각종', '차례', '조선', '등', '회사', '개인', '선박', '대해', '제재', '조치', '가하고', '관원', '최근', '미국', '존재', '하지도', '인권', '문제', '주권국', '조선', '정부', '지도', '미국', '제재', '명단', '도발', '행위', '감행', '언급', '관원', '상대', '위협', '공갈', '압박', '행위', '결코', '문제', '법', '조선', '신뢰', '할', '시작', '단계', '별로', '진행', '방식', '미관', '개선', '할', '주장', '고', '지적', '미국', '재무부', '명의', '조선', '고위', '부가', '관리', '부처', '인권', '침해', '등', '혐의', '리', '유로', '명', '제재', '대상', '명단', '제재', '명단', '명의', '관원', '조직', '도부', '부장', '선', '전선', '동부', '부장', '정경', '택', '조선', '국가', '부장']
http://www.iybrb.com/news/content/2019-08/31/61_371297.html	“군사정보 더는 공유하지 않는다!”-연변일보 Yanbian Daily	541	6	379	151	5	['브리핑', '론', '아시아', '나토', '폼페이', '국무장관']	['한국', '일본', '갈등', '국군', '협력', '영향', '동아시아', '지역', '미국', '전략', '배치', '차질', '신화통신', '한국', '청와대', '국가안보실', '차장', '김유근', '한국', '한일', '군사', '정보', '보호', '협정', '종료', '할', '한일', '량국', '무역', '분쟁', '난제', '봉착', '관련', '협정', '종료', '관계', '층', '악화', '분석', '여파', '한국', '미국', '일본', '안보', '협력', '한미', '동맹', '관계', '향후', '발전', '의혹', '김유근', '차장', '일본', '정부', '달초', '근거', '제출', '하지', '상황', '한일', '신뢰', '안보', '문제', '리', '유로', '일본', '무역', '백색', '국가', '명단', '한국', '삭제', '안보', '협력', '변화', '한국', '안보', '분야', '군사', '정보', '공유', '협정', '연기', '한국', '국가', '리익', '부합', '인정', '한국', '협정', '내', '외교', '경로', '통해', '협의', '종료', '통보', '할', '방침', '한일', '관련', '협정', '정식', '체결', '유효', '기한', '정', '반대', '하지', '협정', '기한', '자동', '연기', '만약', '협정', '종료', '매년', '전', '상대방', '협정', '종료', '통보', '규정', '한국', '민심', '조사', '협정', '연기', '응답', '찬성', '응답', '한국', '언론', '진보', '당파', '지지자', '대', '이상', '협상', '연기', '반대', '비률', '보수파', '지지자', '대중', '협정', '연기', '찬성', '비률', '한국', '립', '표명', '여지', '한국', '청와대', '일본', '보복조치', '철회', '한일', '친선', '협력', '관계', '복원', '할', '경우', '협정', '포함', '협정', '내', '조치', '검토', '할', '고', '강조', '페지', '가', '종료', '결정', '원인', '한국', '협정', '종료', '통보', '후', '일본', '일본', '주재', '한국', '대사', '남관', '표', '한국', '재계약', '불허', '통보', '항의', '한국', '관련', '결정', '당면', '지역', '안보', '환경', '대한', '유감', '표', '한국', '협정', '연기', '불허', '한국', '대한', '일본', '수출', '통제', '문제', '전혀', '문제', '한일', '정부', '일제', '식민지', '통치', '기간', '로동', '손해배상', '청구', '합의', '하지', '일본', '한국', '수출', '반도체', '소재', '대한', '심사', '통제', '발표', '량국', '무역', '분쟁', '유발', '한편', '금년', '일본', '한국', '무역', '편의', '백색', '국가', '명단', '선후', '하여', '상대방', '삭제', '난이', '격', '한국', '관련', '조치', '철회', '할', '한국', '촉구', '관계', '발전', '협정', '전망', '검토', '한국', '국립외교원', '교수', '한국', '정부', '협정', '종료', '결단', '일본', '정부', '압박', '하기', '수단', '수출', '통제', '대한', '일본', '태도', '변화', '이끌어내기', '분석', '협정', '종료', '한일', '량국', '갈등', '증폭', '한편', '한국', '미국', '일본', '군사', '협력', '영향', '주고', '동북아시아', '미국', '전략', '포', '분석', '일본', '신문', '은', '한일', '군사', '정보', '직접', '교환', '안보', '협력', '상징', '표', '일본', '방위성', '관원', '한일', '군사', '유가', '미국', '통해', '경우', '정보', '실효', '영향', '대응', '인정', '전문가', '당초', '한일', '정보', '협력', '적극', '추진', '측은', '미국', '한국', '미국', '일본', '등', '동맹', '구축', '동북아시아', '패권', '지위', '수호', '하려', '미국', '인정', '한일', '정보', '협력', '중단', '미국', '타산', '영향', '미국', '오', '한국', '결정', '한국', '일본', '대화', '전개', '관계', '정상', '궤도', '복귀', '할', '희망']
http://www.iybrb.com/news/content/2018-12/26/61_338799.html	남북, 개성서 철도·도로 련결 착공식 개최-연변일보 Yanbian Daily	151	2	112	27	10	['세리머니', '인터넷']	['남북', '철도', '도로', '련결', '대화', '사업', '리', '정표', '착공', '식이', '북', '개성', '판문역', '남', '북', '오전', '북경시', '판문역', '주요', '인사', '각', '여명', '참석', '경의선', '동해', '선', '철도', '도로', '련결', '대화', '착공', '개최', '남', '참석자', '오전', '북경시', '이하', '북경시', '경', '량', '편성', '호', '특별', '렬차', '타고', '출발', '도라산역', '오전', '군사분계선', '통과', '판문역', '도착', '북', '참석자', '렬차', '타고', '판문역', '오전', '진행', '착공', '행사', '남', '국토교통부', '장관', '북', '철도성', '부상', '착공', '사를', '한', '남북', '철도', '도로', '협력', '의지', '상징', '남북', '참석자', '장관', '부상', '침목', '서명', '궤도', '궤도', '체결', '도로', '표지판', '제막식', '한', '후', '기념', '촬영', '북', '악단', '개', '페식', '공연', '곁들여졌다', '착공', '남북관계', '교통', '등', '장관', '인사', '남북', '고위', '인사', '연변', '일보', '사업', '부', '외신']
http://www.iybrb.com/news/content/2019-06/24/61_361575.html	김정은 트럼프의 친서 받아-연변일보 Yanbian Daily	93	3	56	34	0	['트럼프', '트럼프', '트럼프']	['평양', '신화통신', '조선', '중앙', '통신사', '보도', '조선', '최고', '지도자', '미국', '대통령', '친서', '편지', '내용', '담겨있다', '고', '편지', '내용', '심중', '표', '보도', '친서', '후', '만족', '표', '편지', '내용', '담겨있다', '고', '대통령', '정치', '판단', '능력', '용기', '사의', '표', '고', '편지', '내용', '심중', '조선', '중앙', '통신사', '동시', '책상', '편지', '사진', '장', '공개', '보도', '친서', '구체', '내용', '편지', '시간', '대해']
http://www.iybrb.com/news/content/2019-06/22/61_361491.html	한국, 조선에 5만톤 국산쌀 지원 결정-연변일보 Yanbian Daily	66	0	46	20	0	[]	['신화통신', '한국', '통일부', '한국', '정부', '세계', '식량', '계획', '통해', '조선', '국산', '지원', '하기로', '결정', '선포', '한국', '통일부', '발표', '성명', '한국', '세계', '식량', '계획', '협상', '후', '결정', '통일부', '이번', '지원', '식량', '속도', '조선', '주민', '전달', '이번', '식량', '지원', '결과', '조선', '대한', '추가', '지원', '시기', '규모', '결정', '할']
http://www.iybrb.com/news/content/2019-01/04/61_339680.html	한국, 김정은의 반도비핵화 실현 립장 환영-연변일보 Yanbian Daily	77	0	66	11	0	[]	['한조', '관계', '발전', '계속', '추진', '신화통신', '한국', '정부', '발표', '성명', '한국', '조선', '최고', '지도자', '신년사', '반도', '비핵화', '실현', '반도', '평화', '구축', '북남관계', '확대', '립', '환영', '표', '성명', '한국', '정부', '남북', '체결', '선언', '리행', '남북관계', '대폭', '개선', '반도', '비핵화', '실현', '반도', '항구', '평화', '기제', '구축', '립', '일관', '견지', '성명', '향후', '한국', '정부', '한국', '국민', '쌍방', '화해', '협력', '추진', '한국', '조선', '관계', '발전', '계속', '추진', '할', '계획', '신화통신']
http://www.iybrb.com/news/content/2019-06/29/61_362436.html	한국서 이는 마라탕 열풍, 매출은 100배 가까이 급증!-연변일보 Yanbian Daily	180	2	95	80	3	['네티즌', '인터넷']	['최근', '한국', '층', '중심', '인기', '한국', '중앙', '일보', '인용', '최근', '한국', '중국', '맥주', '약진', '보도', '보도', '최근', '년', '등', '중국', '음식', '한국', '소비자', '인기', '실제', '인근', '식당', '최근', '광화문', '여의도', '강남', '확산', '동네', '상권', '침투', '전', '한국', '외식', '업계', '선풍', '인기', '조선족', '동포', '창업', '급증', '한국', '전자', '상가', '포의', '통계', '중국', '향', '조미료', '과', '식', '재료', '매출', '이상', '재료', '매출', '이상', '한편', '한국', '편의점', '류행', '생길', '정도', '최근', '년', '등', '중국', '음식', '소비자', '인기', '중국', '맥주', '인기', '설명', '소식', '중국', '한국', '열풍', '별로', '한국', '자신', '발명', '발표', '등', '다소', '반응', '전해졌다', '연변', '일보', '사업', '부']
http://www.iybrb.com/news/content/2019-06/22/61_361498.html	조선, 새 전략적 로선 실시 경제사회 발전에서 새 성과 이룩-연변일보 Yanbian Daily	385	7	265	109	4	['킬로', '메터', '메터', '메터', '프로젝트', '부지역', '파키스탄']	['각', '업종', '건설', '적극', '투입', '한해', '생산', '목표', '초과', '완수', '평양', '신화통신', '기', '차', '회의', '위원장', '국무위원', '회', '위원장', '전당', '전국', '단합', '사회주의', '건설', '진행', '전략', '로선', '제출', '조선', '사회주의', '사업', '단계', '의미', '전략', '로선', '실시', '년', '위원장', '각지', '공장', '건설', '현장', '양로원', '발전소', '작업', '현장', '시찰', '조선', '증산', '돌격', '운동', '전개', '각', '업종', '건설', '적극', '투입', '한해', '생산', '목표', '초과', '완수', '성과', '초', '위원장', '신년', '축사', '당', '전략', '로선', '자력', '갱생', '분투', '국력', '증강', '인민', '리', '실현', '할', '고', '강조', '조선', '기', '최고', '인민', '회의', '차', '회의', '위원장', '시정', '연설', '발표', '조선', '직면', '중심', '과업', '국가', '력량', '건설', '집중', '사회주의', '물질', '토대', '공고', '국민', '경제', '자립', '성과', '주체성', '강조', '평양', '인민', '경제', '자립', '인민', '경제', '주체성', '인민', '생활수준', '향상', '등', '홍보물', '건설', '총력', '조선', '결심', '의지', '조선', '중앙', '통신사', '지난', '조선', '기초', '시설', '건설', '국민', '경제', '발전', '성과', '보도', '조선', '전국', '범위', '내', '도로', '보수', '교량', '신규', '건설', '하천', '제방', '여', '립방', '제방', '립방', '보수', '조선', '전력', '부문', '생산', '설비', '정돈', '기술', '개조', '발전소', '발전소', '등', '건설', '추진', '순천', '덕천', '북창', '등', '탄광', '장량', '채굴', '조건', '량호', '작업장', '건설', '야금', '공장', '강철', '제련', '기술', '강철', '재료', '생산', '수준', '조선', '당', '정부', '민생', '분야', '일련', '조치', '취해', '도농', '주민', '생활수준', '개선', '중순', '년', '정식', '개장', '평양', '백화', '상점', '평양', '시', '종합', '상점', '평양', '시민', '식품', '의류', '화장품', '가전제품', '등', '생활', '필수품', '구입', '할', '하순', '평양', '대', '혁명', '전시관', '조선', '기', '국제상품', '전시회', '중국', '등', '국가', '지역', '여개', '회사', '참가', '제품', '사상', '최대', '규모', '이번', '전시회', '조선', '민중', '외국', '제품', '선호', '제품', '구입', '평양', '개장', '상점', '행인', '조선', '전략', '로선', '조선', '경제', '사회', '발전', '변화', '실감']
